              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   67.90  770 51.05  14 12 74  2.80 3.00 2.82
  126.52 1526 188.57  14 14 72  2.73 2.99 2.81
    0.00    0  0.00  10 14 76  2.73 2.99 2.81
   12.00    0  0.01  11 14 75  2.91 3.02 2.82
   10.00    1  0.01  11 14 75  2.91 3.02 2.82
    6.81  122  0.81  12 14 74  2.91 3.02 2.82
  104.50 1889 192.74  14 14 72  3.32 3.10 2.85
   19.27    5  0.10  10 14 76  3.32 3.10 2.85
    4.00    0  0.00  10 14 76  3.29 3.10 2.86
    0.00    0  0.00  10 14 76  3.29 3.10 2.86
    0.00    0  0.00  10 14 76  3.29 3.10 2.86
  105.06 1874 192.23  13 14 73  3.35 3.12 2.86
   12.00    0  0.01  10 13 76  3.35 3.12 2.86
   10.00    1  0.01  10 14 76  3.40 3.13 2.87
    0.00    0  0.00  11 14 76  3.40 3.13 2.87
    8.00    1  0.01  10 14 76  3.40 3.13 2.87
  105.25 1870 192.23  14 14 73  3.37 3.13 2.87
    0.00    0  0.00  10 14 76  3.37 3.13 2.87
    0.00    0  0.00  11 14 75  3.42 3.14 2.88
   16.00    0  0.01  11 14 76  3.42 3.14 2.88
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.37  126  0.91  11 14 75  3.42 3.14 2.88
  105.56 1868 192.57  14 14 72  3.39 3.14 2.88
    7.27    5  0.04  11 14 75  3.39 3.14 2.88
    0.00    0  0.00  11 14 75  3.20 3.10 2.86
    5.35   97  0.51  10 14 76  3.20 3.10 2.86
    0.00    0  0.00  11 14 75  3.20 3.10 2.86
  107.17 1838 192.38  14 14 73  3.10 3.09 2.86
    4.24   34  0.14  11 14 75  3.10 3.09 2.86
    0.00    0  0.00  10 14 76  3.01 3.07 2.85
    0.00    0  0.00  10 14 76  3.01 3.07 2.85
    8.00    1  0.01  10 14 76  3.01 3.07 2.85
  136.24 1419 188.79  13 14 74  3.09 3.08 2.86
    8.46  456  3.76  12 14 74  3.09 3.08 2.86
    0.00    0  0.00  11 14 75  3.16 3.10 2.87
    0.00    0  0.00  11 14 75  3.16 3.10 2.87
    6.75  104  0.69  11 15 75  3.16 3.10 2.87
  106.01  934 96.71  12 14 74  3.07 3.08 2.86
  104.65  938 95.89  12 15 73  3.07 3.08 2.86
    6.67    3  0.02  11 14 75  3.06 3.08 2.86
    0.00    0  0.00  10 14 76  3.06 3.08 2.86
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.71    7  0.04  10 14 76  3.06 3.08 2.86
  207.58  456 92.40  11 14 75  2.90 3.04 2.85
   72.27 1419 100.15  12 14 74  2.90 3.04 2.85
   14.91    5  0.08  11 14 76  2.83 3.03 2.84
    0.00    0  0.00  10 14 76  2.83 3.03 2.84
    8.00    1  0.01  10 14 76  2.83 3.03 2.84
  118.19  823 94.96  11 14 76  2.84 3.02 2.85
   94.94 1053 97.61  12 14 74  2.84 3.02 2.85
    0.00    0  0.00  10 14 76  2.69 2.99 2.83
    0.00    0  0.00  10 14 76  2.69 2.99 2.83
    6.45  124  0.78  11 14 75  2.69 2.99 2.83
   92.06  560 50.32  11 14 74  2.56 2.96 2.82
  111.00 1312 142.20  14 14 72  2.56 2.96 2.82
    0.00    0  0.00  11 15 74  2.75 2.99 2.84
    0.00    0  0.00  11 14 75  2.75 2.99 2.84
   12.80    2  0.03  10 14 75  2.75 2.99 2.84
  131.83  127 16.34  11 15 75  2.61 2.96 2.82
  102.39 1765 176.48  13 14 73  2.61 2.96 2.82
   25.33    1  0.04  11 14 75  2.64 2.96 2.83
   21.39  195  4.07  13 15 72  2.64 2.96 2.83
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
   12.80    2  0.03  11 14 75  2.64 2.96 2.83
   14.03  499  6.83  20 17 64  2.59 2.94 2.82
   93.49 2139 195.30  37 27 36  2.59 2.94 2.82
   77.22  161 12.14  21 17 62  2.54 2.93 2.82
   13.82    5  0.07  16 17 67  2.54 2.93 2.82
    8.79  172  1.48  13 15 72  2.54 2.93 2.82
    0.00    0  0.00  12 14 74  2.34 2.88 2.80
  105.08 1877 192.62  15 16 69  2.34 2.88 2.80
   14.67    4  0.06  12 15 73  2.39 2.88 2.80
    0.00    0  0.00  10 14 76  2.39 2.88 2.80
    0.00    0  0.00  10 14 76  2.39 2.88 2.80
    4.00    0  0.00  10 14 76  2.52 2.90 2.81
  105.68 1865 192.49  14 13 73  2.52 2.90 2.81
    6.00    4  0.02  10 14 76  2.80 2.95 2.83
